Date,Open,High,Low,Close,Body,Upper Wick,Lower Wick,,Gap,Inside Bar,% Change,,Volume,OBV,Vol SMA(20),,True Range,ATR(14),Hist Vol,BB Upper,BB Middle,BB Lower,,Avg Price,Avg Delta,ROC(5),,SMA(20),SMA(50),SMA(200),EMA(9),EMA(12),EMA(20),EMA(26),EMA(50),EMA(200),,MACD,Signal,MACD Hist,,R3,R2,R1,S1,S2,S3,,Kelt Upper,Kelt Mid,Kelt Lower,,Avg Up,Avg Down,RSI(9),StochRSI %K,StochRSI %D,,Avg Up 14,Avg Down 14,RSI(14),RSI Trend,,Williams %R,CCI,Momentum(10),,Plus DM,Minus DM,Plus DM14,Minus DM14,Plus DI14,Minus DI14,DX,ADX,,Tenkan,Kijun,Senkou A,Senkou B,Chikou,Senkou A+26,Senkou B+26
2025-05-19,1.1179,1.1288,1.1171,1.1242,0.0063,0.0046,0.0008,,0.0014,0,0.69,,180120,-33223,,,123,,,,,,,1.1234,62,1.39,,,,,1.1229,,,,,,,,,,,1.1413,1.1355,1.1296,1.1179,1.1121,1.1062,,,,,,26.9,33.1,44.83,,,,,,,,,,,-0.0073,,68,0,,,,,,,,1.1222,,,,1.1242,,
2025-05-20,1.1241,1.1286,1.1218,1.1284,0.0043,0.0002,0.0023,,-0.0001,1,0.37,,153292,120069,,,68,,,,,,,1.1263,29,0.89,,,,,1.124,,,,,,,,,,,1.1375,1.1341,1.1307,1.1239,1.1205,1.1171,,,,,,28.6,29.4,49.31,,,,,,,,,,,-0.0086,,0,0,,,,,,,,1.1201,,,,1.1284,,
2025-05-21,1.1283,1.1363,1.128,1.1331,0.0048,0.0032,0.0003,,-0.0001,0,0.42,,184406,304475,,,83,,,,,,,1.1325,62,1.41,,,,,1.1258,1.124,,,,,,,,,,1.1452,1.141,1.1369,1.1286,1.1245,1.1203,,,,,,30.6,26.1,53.97,,,,,,,,,,,0.0029,,77,0,,,,,,,,1.1214,,,,1.1331,,
2025-05-22,1.133,1.1345,1.1256,1.128,-0.005,0.0015,0.0024,,-0.0001,0,-0.45,,197627,106848,,,89,,,,,,,1.1294,-31,0.84,,,,,1.1262,1.1246,,,,,,,,,,1.142,1.1376,1.1331,1.1242,1.1198,1.1153,,,,,,27.2,28.9,48.48,,,,,,,,,-31.96,,0.0051,,0,24,,,,,,,,1.1214,,,,1.128,,
2025-05-23,1.1281,1.1376,1.1279,1.1365,0.0084,0.0011,0.0002,,0.0001,0,0.75,,192450,299298,,,97,,,,,,,1.134,46,1.79,,,,,1.1283,1.1264,,,,,,,,,,1.1498,1.145,1.1401,1.1304,1.1256,1.1207,,,,,,33.6,25.7,56.66,,,,31.1,27.6,52.98,,,-5.06,,0.0116,,31,0,18.53,20.4,,,,,,1.1232,,,,1.1365,,
2025-05-26,1.1367,1.1419,1.1362,1.1388,0.0021,0.0031,0.0005,,0.0002,0,0.2,,111433,410731,,,57,98,,,,,,1.139,50,1.3,,,,,1.1304,1.1283,,,,,,,,,,1.1474,1.1446,1.1417,1.136,1.1332,1.1303,,,,,,32.4,22.8,58.7,,,,30.5,25.6,54.37,,,-8.76,,0.03,,43,0,60.21,18.94,61.44,19.33,52,,,1.1275,,,,1.1388,,
2025-05-27,1.1386,1.1408,1.1323,1.1328,-0.0058,0.0022,0.0005,,-0.0002,0,-0.53,,160115,250616,,,85,97,,,,,,1.1353,-37,0.39,,,,,1.1309,1.129,,,,,,,,,,1.1468,1.1426,1.1383,1.1298,1.1256,1.1213,,,,,,28.8,26.9,51.71,,,,28.3,28.1,50.18,,,-25.71,,0.0143,,0,39,55.91,56.59,57.64,58.34,1,,,1.1275,,,,1.1328,,
2025-05-28,1.1333,1.1345,1.1284,1.1292,-0.0041,0.0012,0.0008,,0.0005,0,-0.32,,166223,84393,,,61,94,,,,,,1.1307,-46,-0.34,,,,,1.1306,1.129,,,,,,,,,,1.1391,1.1361,1.133,1.1269,1.1239,1.1208,,,,,,25.6,27.9,47.85,52.95,,,26.3,28.7,47.82,,,-35.88,,0.0119,,0,39,51.92,91.55,55.23,97.39,28,,,1.1275,,,,1.1292,,
2025-05-29,1.1294,1.1385,1.1211,1.1367,0.0073,0.0018,0.0083,,0.0002,0,0.66,,216667,301060,,,174,100,,,,,,1.1321,14,0.77,,,,,1.1318,1.1302,,,,,,,,,,1.1605,1.1518,1.1431,1.1257,1.117,1.1083,,,,,,31.1,24.8,55.64,77.94,,,29.8,26.7,52.74,,,-14.69,,0.0181,,0,73,48.21,158.01,48.21,158.01,53,,,1.1295,,,,1.1367,,
2025-05-30,1.1372,1.139,1.1313,1.1348,-0.0024,0.0018,0.0035,,0.0005,0,-0.17,,198989,102071,179041,,77,98,,1.1435,1.1274,1.1113,,1.135,29,-0.15,,1.1274,,,1.1324,1.1309,,,,,,,,,,1.1465,1.1427,1.1388,1.1311,1.1273,1.1234,,,,,,27.6,24.2,53.28,50.05,60.31,,27.7,26.2,51.39,,,-21.45,78.03,0.0183,,5,0,49.77,146.72,50.79,149.71,49,,,1.1315,,,,1.1348,,
2025-06-02,1.1349,1.145,1.1347,1.1444,0.0095,0.0006,0.0002,,0.0001,0,0.85,,173313,275384,179610,,103,98,9.65,1.1457,1.1281,1.1104,,1.1414,64,0.49,,1.1281,,,1.1348,1.133,1.1282,,,,,,,,,1.1583,1.1532,1.148,1.1377,1.1326,1.1274,,1.1478,1.1282,1.1086,,35.2,21.5,62.08,100,76,,32.6,24.3,57.29,,,-1.88,131.97,0.0202,,60,0,106.22,136.24,108.39,139.02,12,,,1.133,,,,1.1444,,
2025-06-03,1.144,1.1455,1.1364,1.137,-0.007,0.0015,0.0006,,-0.0004,0,-0.65,,154149,121235,178784,,91,98,9.82,1.1457,1.1281,1.1104,,1.1396,-18,0.37,,1.1281,,,1.1352,1.1336,1.129,,,,,,,,,1.152,1.1475,1.1429,1.1338,1.1292,1.1247,,1.1486,1.129,1.1094,,31.3,27.3,53.41,39.07,63.04,,30.3,27.9,52.06,,,-26.23,108.3,0.0086,,5,0,103.63,126.51,105.74,129.09,10,,,1.1333,,,,1.137,,
2025-06-04,1.1373,1.1435,1.1357,1.1418,0.0045,0.0017,0.0016,,0.0003,0,0.42,,166052,287287,176521,,78,97,9.67,1.1473,1.1287,1.11,,1.1403,7,1.12,,1.1287,,,1.1365,1.1349,1.1302,,,,,,,,,1.1528,1.1489,1.145,1.1372,1.1333,1.1294,,1.1496,1.1302,1.1108,,33.2,24.3,57.74,69.5,69.52,,31.6,25.9,54.96,,,-11.42,105.77,0.0087,,0,7,96.23,124.47,99.21,128.32,13,,,1.1333,,,,1.1418,,
2025-06-05,1.1417,1.1495,1.1405,1.1444,0.0027,0.0051,0.0012,,-0.0001,0,0.23,,194634,481921,175883,,90,97,9.32,1.1494,1.1297,1.1101,,1.1448,45,0.68,,1.1297,,,1.1381,1.1364,1.1316,,,,,,,,,1.1581,1.1536,1.1491,1.1401,1.1356,1.1311,,1.151,1.1316,1.1122,,32.4,21.6,60,85.38,64.65,,31.2,24.1,56.42,,,-15.74,129.03,0.0164,,60,0,149.36,115.58,153.98,119.15,13,,,1.1353,,,,1.1444,,
2025-06-06,1.1446,1.1457,1.1372,1.1397,-0.0049,0.0011,0.0025,,0.0002,0,-0.41,,163986,317935,176895,,85,96,9.48,1.1504,1.1305,1.1105,,1.1409,-39,0.43,,1.1305,,,1.1384,1.1369,1.1324,,,,,,,,,1.153,1.1488,1.1445,1.136,1.1317,1.1275,,1.1516,1.1324,1.1132,,28.8,24.4,54.14,44.2,66.36,,29,25.7,53.02,,,-34.51,86.9,0.0032,,0,33,138.69,140.32,144.47,146.17,1,,,1.1353,,,,1.1397,,
2025-06-09,1.1399,1.1439,1.1387,1.1421,0.0022,0.0018,0.0012,,0.0002,1,0.21,,107067,425002,169589,,52,93,7.63,1.15,1.1321,1.1142,,1.1416,7,-0.2,,1.1321,,,1.1391,1.1377,1.1333,,,,,,,,,1.1496,1.147,1.1444,1.1392,1.1366,1.134,,1.1519,1.1333,1.1147,,28.3,21.7,56.6,61.49,63.69,,28.6,23.9,54.48,,,-26.06,87.66,0.0033,,0,0,128.78,130.3,138.47,140.11,1,,,1.1353,1.128,1.1317,,1.1421,1.1317,
2025-06-10,1.1422,1.1448,1.1373,1.1426,0.0004,0.0022,0.0049,,0.0001,0,0.04,,143969,568971,168355,,75,92,7.14,1.1507,1.1333,1.116,,1.1416,0,0.49,,1.1333,,,1.1398,1.1385,1.1342,1.1311,,,,0.0074,,,,1.1533,1.1496,1.1458,1.1383,1.1346,1.1308,,1.1526,1.1342,1.1158,,25.7,19.3,57.11,43.52,49.74,,26.9,22.2,54.79,,,-24.3,81.83,0.0098,,0,14,119.58,134.99,129.98,146.73,6,,,1.1353,1.128,1.1317,,1.1426,1.1317,
2025-06-11,1.1427,1.15,1.1405,1.1488,0.0061,0.0012,0.0022,,0.0001,0,0.54,,159379,728350,166343,,95,92,7.26,1.1518,1.1349,1.118,,1.1464,48,0.61,,1.1349,,,1.1416,1.1401,1.1356,1.1324,,,,0.0077,,,,1.1619,1.1572,1.1524,1.1429,1.1382,1.1334,,1.154,1.1356,1.1172,,29.7,17.2,63.33,100,68.34,,29.4,20.6,58.8,,,-4.15,120.27,0.0196,,52,0,163.04,125.35,177.22,136.25,13,,,1.1407,1.1283,1.1345,,1.1488,1.1345,
2025-06-12,1.1486,1.1632,1.1485,1.1585,0.0099,0.0047,0.0001,,-0.0002,0,0.84,,201196,929546,168499,,147,96,7.67,1.155,1.1369,1.1188,,1.1567,103,1.23,,1.1369,,,1.145,1.1429,1.1378,1.1343,,,,0.0086,,,,1.1797,1.1724,1.165,1.1503,1.143,1.1356,,1.157,1.1378,1.1186,,37.2,15.3,70.86,100,81.17,,34.2,19.1,64.17,,,-11.16,198.63,0.0218,,132,0,283.39,116.4,295.2,121.25,42,21,,1.149,1.1349,1.142,,1.1585,1.142,
